index , value 
0 ,0
1 ,0
2 ,0
3 ,0
4 ,0
5 ,0
6 ,0
7 ,0
8 ,0
9 ,0
10 ,0
11 ,0
12 ,0
13 ,0
14 ,0
15 ,0
16 ,0
17 ,0
18 ,0
19 ,0
20 ,0
21 ,0
22 ,0
23 ,0
24 ,0
25 ,0
26 ,0
27 ,0
28 ,0
29 ,0
30 ,0
31 ,0
32 ,0
33 ,0
34 ,0
35 ,0
36 ,0
37 ,0
38 ,0
39 ,0
40 ,2.76064
41 ,0
42 ,0
43 ,0
44 ,0
45 ,0
46 ,0
47 ,30.8804
48 ,0
49 ,0
50 ,0
51 ,0
52 ,0
53 ,0
54 ,0
55 ,0
56 ,0
57 ,0
58 ,0
59 ,49.5283
60 ,0
61 ,0
62 ,0
63 ,0
64 ,0
65 ,0
66 ,0
67 ,0
68 ,0
69 ,0
70 ,0
71 ,0
72 ,0
73 ,0
74 ,0
75 ,0
76 ,0
77 ,0
78 ,0
79 ,0
80 ,0
81 ,0
82 ,117.183
83 ,0
84 ,26.3706
85 ,0
86 ,0
87 ,0
88 ,0
89 ,0
90 ,0
91 ,0
92 ,0
93 ,0
94 ,0
95 ,0
96 ,0
97 ,0
98 ,0
99 ,0
100 ,0
101 ,0
102 ,0
103 ,0
104 ,0
105 ,0
106 ,0
107 ,0
108 ,0
109 ,0
110 ,0
111 ,0
112 ,0
113 ,0
114 ,0
115 ,0
116 ,31.5115
117 ,0
118 ,0
119 ,0
120 ,0
121 ,0
122 ,0
123 ,0
124 ,0
125 ,0
126 ,0
127 ,0
128 ,0
129 ,0
130 ,0
131 ,0
132 ,0
133 ,0
134 ,0
135 ,0
136 ,0
137 ,0
138 ,0
139 ,0
140 ,0
141 ,0
142 ,0
143 ,0
144 ,0
145 ,0
146 ,0
147 ,0
148 ,0
149 ,13.9399
150 ,27.8002
151 ,0
152 ,8.96138
153 ,0
154 ,0
155 ,0
156 ,0
157 ,0
158 ,0
159 ,0
160 ,0
161 ,0
162 ,0
163 ,0
164 ,5.9932
165 ,0
166 ,0
167 ,0
168 ,0
169 ,0
170 ,0
171 ,0
172 ,15.0854
173 ,0
174 ,47.8255
175 ,0
176 ,0
177 ,0
178 ,53.485
179 ,19.9889
180 ,0
181 ,0
182 ,0
183 ,32.9689
184 ,0
185 ,0
186 ,0
187 ,0
188 ,0
189 ,0
190 ,0
191 ,0
192 ,0
193 ,0
194 ,0
195 ,0
196 ,0
197 ,15.123
198 ,0
199 ,0
200 ,0
201 ,0
202 ,0
203 ,0
204 ,0
205 ,0
206 ,29.3442
207 ,0
208 ,0
209 ,0
210 ,0
211 ,14.3094
212 ,0
213 ,0
214 ,0
215 ,0
216 ,4.75505
217 ,0
218 ,0
219 ,74.1405
220 ,0
221 ,0
222 ,0
223 ,0
224 ,32.3063
225 ,0
226 ,0
227 ,0
228 ,0
229 ,2.27004
230 ,0
231 ,0
232 ,0
233 ,0
234 ,6.64761
235 ,0
236 ,0
237 ,5.7175
238 ,0
239 ,0
240 ,5.22679
241 ,0
242 ,0
243 ,0
244 ,0
245 ,28.097
246 ,37.0993
247 ,7.21927
248 ,0
249 ,0
250 ,50.9609
251 ,0
252 ,0
253 ,0
254 ,0
255 ,0
256 ,0
257 ,1.92831
258 ,0
259 ,54.4856
260 ,0
261 ,0
262 ,0
263 ,0
264 ,0
265 ,12.3959
266 ,101.011
267 ,0
268 ,0
269 ,11.4652
270 ,0
271 ,0
272 ,315.915
273 ,0
274 ,0
275 ,0
276 ,0
277 ,0
278 ,0
279 ,0
280 ,0
281 ,0
282 ,0
283 ,0
284 ,0
285 ,2.55631
286 ,0
287 ,11.2249
288 ,0
289 ,0
290 ,0
291 ,0
292 ,0
293 ,234.954
294 ,0
295 ,0
296 ,0
297 ,0
298 ,0
299 ,20.6425
300 ,90.8649
301 ,0
302 ,156.332
303 ,20.821
304 ,0
305 ,0
306 ,43.2549
307 ,24.6948
308 ,0
309 ,0
310 ,0
311 ,0
312 ,0
313 ,0
314 ,0
315 ,0
316 ,0
317 ,0
318 ,0
319 ,0
320 ,0
321 ,0
322 ,0
323 ,0
324 ,30.6876
325 ,0
326 ,0
327 ,0
328 ,0
329 ,0
330 ,0
331 ,0
332 ,0
333 ,0
